ulCounter,timestamp,fcnt,deui,gw,ftime,ft2d,etime,snr,rssi,ant,lsnr,rssic,rssis,lat,lon
15,1498556052926,15,'3238353550348101','000000000806070e',,,,-13.2,-125,,,,,,
16,1498556055621,16,'3238353550348101','000000000806042f',,,,-12.5,-127,,,,,,
16,1498556055624,16,'3238353550348101','0000000008060504',,,,-10,-118,,,,,,
16,1498556055860,16,'3238353550348101','7076fffffe017776',,-776,FNMSIQLorj78j2Xfgm9mVA==,-14,-122,0,-14,-108,-123,0,0
16,1498556055898,16,'3238353550348101','00000000080e00e5',,,,-4.8,-121,,,,,,
16,1498556056330,16,'3238353550348101','0000000008060739',,,,null,-112,,,,,,
17,1498556060616,17,'3238353550348101','0000000008060504',,,,-10.5,-119,,,,,,
17,1498556060623,17,'3238353550348101','000000000806042f',,,,-12.2,-127,,,,,,
17,1498556060762,17,'3238353550348101','7076fffffe01787f',,-2281,A1NrVhFShY7dTHY9/uOd9Q==,-14,-122,0,-14,-108,-123,0,0
17,1498556060858,17,'3238353550348101','00000000080e00e5',,,,-4.5,-119,,,,,,
17,1498556061280,17,'3238353550348101','0000000008060739',,,,-2.5,-115,,,,,,
18,1498556064452,18,'3238353550348101','0000000008060504',,,,-11.2,-120,,,,,,
18,1498556064550,18,'3238353550348101','7076fffffe01787f',,,,-12,-122,0,-12,-110,,0,0
18,1498556064586,18,'3238353550348101','7076fffffe017776',,-103,3qafumCtpDGrVSrzsCeBMw==,-12,-120,0,-12,-108,-120,0,0
18,1498556064782,18,'3238353550348101','00000000080e00e5',,,,-6,-119,,,,,,
18,1498556065026,18,'3238353550348101','0000000008060739',,,,-3,-115,,,,,,
19,1498556067607,19,'3238353550348101','0000000008060504',,,,-2.8,-111,,,,,,
